Date,Price,Gain,Discount,game_id,id
Last 30 Days,9340.57,+199.2,+2.18%,16534,10
"
					November 2021
				",9141.35,469.64,+5.42%,16321,10
"
					October 2021
				",8671.71,210.59,+2.49%,15631,10
"
					September 2021
				",8461.12,-390.07,-4.41%,14559,10
"
					August 2021
				",8851.19,-286.57,-3.14%,14064,10
"
					July 2021
				",9137.76,-359.69,-3.79%,14972,10
"
					June 2021
				",9497.45,-1243.50,-11.58%,16391,10
"
					May 2021
				",10740.95,-1685.32,-13.56%,18089,10
"
					April 2021
				",12426.28,114.93,+0.93%,21562,10
"
					March 2021
				",12311.34,220.02,+1.82%,22140,10
"
					February 2021
				",12091.33,-1002.98,-7.66%,21626,10
"
					January 2021
				",13094.31,854.78,+6.98%,23762,10
"
					December 2020
				",12239.53,960.83,+8.52%,22645,10
"
					November 2020
				",11278.70,958.12,+9.28%,20908,10
"
					October 2020
				",10320.58,336.63,+3.37%,17908,10
"
					September 2020
				",9983.94,-680.97,-6.39%,16041,10
"
					August 2020
				",10664.91,-867.54,-7.52%,16485,10
"
					July 2020
				",11532.45,-543.85,-4.50%,18159,10
"
					June 2020
				",12076.30,-3271.20,-21.31%,21446,10
"
					May 2020
				",15347.51,-2417.08,-13.61%,29589,10
"
					April 2020
				",17764.58,5255.06,+42.01%,31782,10
"
					March 2020
				",12509.52,2835.54,+29.31%,30500,10
"
					February 2020
				",9673.98,-523.56,-5.13%,17705,10
"
					January 2020
				",10197.54,622.14,+6.50%,19141,10
"
					December 2019
				",9575.40,801.58,+9.14%,18196,10
"
					November 2019
				",8773.82,490.26,+5.92%,15994,10
"
					October 2019
				",8283.56,-179.98,-2.13%,14937,10
"
					September 2019
				",8463.54,-696.38,-7.60%,14661,10
"
					August 2019
				",9159.92,-157.50,-1.69%,14902,10
"
					July 2019
				",9317.42,151.81,+1.66%,15309,10
"
					June 2019
				",9165.61,-80.97,-0.88%,14925,10
"
					May 2019
				",9246.58,-317.98,-3.32%,16503,10
"
					April 2019
				",9564.55,-962.04,-9.14%,17373,10
"
					March 2019
				",10526.59,-1227.21,-10.44%,19302,10
"
					February 2019
				",11753.80,-864.14,-6.85%,21432,10
"
					January 2019
				",12617.94,1034.28,+8.93%,22902,10
"
					December 2018
				",11583.65,1211.48,+11.68%,21858,10
"
					November 2018
				",10372.17,624.92,+6.41%,20591,10
"
					October 2018
				",9747.26,-10.04,-0.10%,18183,10
"
					September 2018
				",9757.29,-683.95,-6.55%,17531,10
"
					August 2018
				",10441.25,-684.15,-6.15%,17093,10
"
					July 2018
				",11125.39,177.45,+1.62%,18703,10
"
					June 2018
				",10947.94,115.97,+1.07%,18604,10
"
					May 2018
				",10831.97,-934.32,-7.94%,18895,10
"
					April 2018
				",11766.29,-2257.31,-16.10%,22637,10
"
					March 2018
				",14023.60,-594.31,-4.07%,25812,10
"
					February 2018
				",14617.92,-501.99,-3.32%,26135,10
"
					January 2018
				",15119.90,1383.00,+10.07%,27589,10
"
					December 2017
				",13736.90,1686.41,+13.99%,25689,10
"
					November 2017
				",12050.49,977.92,+8.83%,24734,10
"
					October 2017
				",11072.57,353.59,+3.30%,20764,10
"
					September 2017
				",10718.98,-630.87,-5.56%,18685,10
"
					August 2017
				",11349.85,-378.43,-3.23%,18292,10
"
					July 2017
				",11728.28,-419.12,-3.45%,20303,10
"
					June 2017
				",12147.40,28.52,+0.24%,20229,10
"
					May 2017
				",12118.87,-939.24,-7.19%,21838,10
"
					April 2017
				",13058.12,-1253.16,-8.76%,22842,10
"
					March 2017
				",14311.28,-1314.58,-8.41%,26577,10
"
					February 2017
				",15625.86,-455.31,-2.83%,28071,10
"
					January 2017
				",16081.17,1864.74,+13.12%,29300,10
"
					December 2016
				",14216.43,768.26,+5.71%,26909,10
"
					November 2016
				",13448.17,445.52,+3.43%,24792,10
"
					October 2016
				",13002.65,418.17,+3.32%,23413,10
"
					September 2016
				",12584.48,-562.96,-4.28%,21984,10
"
					August 2016
				",13147.45,34.78,+0.27%,21491,10
"
					July 2016
				",13112.67,-170.04,-1.28%,21136,10
"
					June 2016
				",13282.71,212.82,+1.63%,22585,10
"
					May 2016
				",13069.89,-597.82,-4.37%,22998,10
"
					April 2016
				",13667.71,-1761.10,-11.41%,24994,10
"
					March 2016
				",15428.81,-967.82,-5.90%,28136,10
"
					February 2016
				",16396.64,-246.65,-1.48%,29617,10
"
					January 2016
				",16643.29,1988.07,+13.57%,29670,10
"
					December 2015
				",14655.22,810.51,+5.85%,27926,10
"
					November 2015
				",13844.71,615.83,+4.66%,26133,10
"
					October 2015
				",13228.88,342.42,+2.66%,24278,10
"
					September 2015
				",12886.46,-1098.97,-7.86%,23130,10
"
					August 2015
				",13985.42,-416.88,-2.89%,22650,10
"
					July 2015
				",14402.31,152.28,+1.07%,23624,10
"
					June 2015
				",14250.03,-74.15,-0.52%,24177,10
"
					May 2015
				",14324.18,-1413.44,-8.98%,26466,10
"
					April 2015
				",15737.62,-1702.04,-9.76%,30333,10
"
					March 2015
				",17439.66,-1361.65,-7.24%,33107,10
"
					February 2015
				",18801.32,-965.94,-4.89%,34453,10
"
					January 2015
				",19767.26,989.08,+5.27%,37018,10
"
					December 2014
				",18778.18,1485.70,+8.59%,36393,10
"
					November 2014
				",17292.48,656.01,+3.94%,33495,10
"
					October 2014
				",16636.47,307.96,+1.89%,31690,10
"
					September 2014
				",16328.50,-1694.35,-9.40%,30379,10
"
					August 2014
				",18022.85,-91.66,-0.51%,29564,10
"
					July 2014
				",18114.51,123.15,+0.68%,30469,10
"
					June 2014
				",17991.36,525.83,+3.01%,31392,10
"
					May 2014
				",17465.53,-1290.67,-6.88%,33755,10
"
					April 2014
				",18756.20,-1728.85,-8.44%,35774,10
"
					March 2014
				",20485.05,-1722.63,-7.76%,39230,10
"
					February 2014
				",22207.68,-1114.30,-4.78%,41945,10
"
					January 2014
				",23321.98,1900.11,+8.87%,44491,10
"
					December 2013
				",21421.87,1719.46,+8.73%,40743,10
"
					November 2013
				",19702.41,621.56,+3.26%,39826,10
"
					October 2013
				",19080.85,-106.94,-0.56%,36655,10
"
					September 2013
				",19187.79,-2109.73,-9.91%,36983,10
"
					August 2013
				",21297.53,816.10,+3.98%,34230,10
"
					July 2013
				",20481.43,336.54,+1.67%,34412,10
"
					June 2013
				",20144.89,244.08,+1.23%,35960,10
"
					May 2013
				",19900.81,-1303.65,-6.15%,36913,10
"
					April 2013
				",21204.46,-2934.69,-12.16%,43856,10
"
					March 2013
				",24139.15,-4239.27,-14.94%,49412,10
"
					February 2013
				",28378.42,-6436.05,-18.49%,60134,10
"
					January 2013
				",34814.47,2818.40,+8.81%,65188,10
"
					December 2012
				",31996.07,2326.10,+7.84%,61189,10
"
					November 2012
				",29669.97,833.67,+2.89%,56957,10
"
					October 2012
				",28836.29,-596.27,-2.03%,56053,10
"
					September 2012
				",29432.56,-3663.24,-11.07%,55321,10
"
					August 2012
				",33095.80,-1043.40,-3.06%,53685,10
"
					July 2012
				",34139.20,-,-,53967,10
Last 30 Days,63.26,+5.1,+8.75%,123,20
"
					November 2021
				",58.17,2.90,+5.24%,118,20
"
					October 2021
				",55.27,-4.45,-7.46%,113,20
"
					September 2021
				",59.73,-4.48,-6.97%,129,20
"
					August 2021
				",64.20,-2.69,-4.02%,138,20
"
					July 2021
				",66.89,5.10,+8.25%,133,20
"
					June 2021
				",61.80,1.72,+2.87%,135,20
"
					May 2021
				",60.07,2.44,+4.23%,129,20
"
					April 2021
				",57.63,-3.55,-5.81%,147,20
"
					March 2021
				",61.19,-7.12,-10.43%,133,20
"
					February 2021
				",68.31,-10.77,-13.62%,143,20
"
					January 2021
				",79.08,5.08,+6.86%,158,20
"
					December 2020
				",74.00,3.56,+5.05%,144,20
"
					November 2020
				",70.45,0.55,+0.79%,146,20
"
					October 2020
				",69.89,-0.19,-0.27%,136,20
"
					September 2020
				",70.08,-8.98,-11.36%,133,20
