id,appid,developer
0,10,Valve
1,20,Valve
2,30,Valve
3,40,Valve
4,50,Gearbox Software
5,60,Valve
6,70,Valve
7,80,Valve
8,130,Gearbox Software
9,220,Valve
10,240,Valve
11,280,Valve
12,300,Valve
13,320,Valve
14,340,Valve
15,360,Valve
16,380,Valve
17,400,Valve
18,420,Valve
19,440,Valve
20,500,Valve
21,550,Valve
22,570,Valve
23,620,Valve
24,630,Valve
25,730,"Valve, Hidden Path Entertainment"
26,852,
27,1002,Mark Healey
28,1200,Tripwire Interactive
29,1250,Tripwire Interactive
30,1300,Ritual Entertainment
31,1309,Ritual Entertainment
32,1313,Ritual Entertainment
33,1500,Introversion Software
34,1510,Introversion Software
35,1520,Introversion Software
36,1530,Introversion Software
37,1600,Sonalysts
38,1610,Malfador Machinations
39,1630,Strategy First
40,1640,Strategy First
41,1670,Strategy First
42,1690,Malfador Machinations
43,1700,Arkane Studios
44,1840,Valve
45,1900,Reality Pump Studios
46,1930,Reality Pump Studios
47,2100,Arkane Studios
48,2200,id Software
49,2210,RavenSoft / id Software
50,2270,id Software
51,2280,id Software
52,2290,id Software
53,2300,id Software
54,2310,id Software
55,2320,id Software
56,2330,Xatrix Entertainment
57,2340,Rogue Entertainment
58,2350,id Software
59,2360,Raven Software
60,2370,Raven Software
61,2390,Raven Software
62,2400,Outerlight Ltd.
63,2420,Outerlight Ltd.
64,2450,Outerlight Ltd.
65,2500,Frozenbyte
66,2520,"CINEMAX, s.r.o."
67,2540,Elephant Games
68,2570,Freegamer
69,2590,Black Element
70,2600,Troika Games
71,2610,Neversoft
72,2620,Infinity Ward
73,2630,"Infinity Ward, Aspyr (Mac)"
74,2640,Gray Matter Studios
75,2700,"Frontier, Aspyr (Mac)"
76,2710,Eugen Systems
77,2720,Iocaine Studios
78,2780,Bohemia Interactive
79,2800,Egosoft
80,2810,Egosoft
81,2820,Egosoft
82,2840,Egosoft
83,2850,Egosoft
84,2870,Egosoft
85,2900,Sonalysts
86,2910,Sonalysts
87,2920,Sonalysts
88,2990,Bugbear Entertainment
89,3010,Techland
90,3020,Techland
91,3050,Techland
92,3130,1C Entertainment
93,3170,Katauri Interactive
94,3230,Metamorf
95,3260,Kheops Studio
96,3270,Mindware Studios
97,3300,"PopCap Games, Inc."
98,3310,"PopCap Games, Inc."
99,3320,"PopCap Games, Inc."
100,3330,"PopCap Games, Inc."
101,3340,"PopCap Games, Inc."
102,3350,"PopCap Games, Inc."
103,3360,"PopCap Games, Inc."
104,3380,"PopCap Games, Inc."
105,3390,"PopCap Games, Inc."
106,3400,"PopCap Games, Inc."
107,3410,"PopCap Games, Inc."
108,3420,"PopCap Games, Inc."
109,3430,"PopCap Games, Inc."
110,3440,"PopCap Games, Inc."
111,3450,"PopCap Games, Inc."
112,3460,"PopCap Games, Inc."
113,3480,"PopCap Games, Inc."
114,3483,"PopCap Games, Inc."
115,3490,"Retro64, Inc."
116,3500,SpinTop Games
117,3510,SpinTop Games
118,3520,SpinTop Games
119,3530,SpinTop Games
120,3540,"PopCap Games, Inc."
121,3560,"PopCap Games, Inc."
122,3570,SpinTop Games
123,3580,"PopCap Games, Inc."
124,3590,"PopCap Games, Inc."
125,3600,SpinTop Games
126,3610,SpinTop Games
127,3620,"PopCap Games, Inc."
128,3700,Rebellion
129,3710,Rebellion
130,3720,Elixir Studios
131,3730,Rebellion
132,3800,GlyphX Games
133,3810,Terminal Reality
134,3820,Terminal Reality
135,3830,Double Fine Productions
136,3900,Firaxis Games
137,3910,Firaxis Games
138,3920,Firaxis Games
139,3960,PopTop
140,3980,"FireFly Studios, Firaxis Games"
141,3990,Firaxis Games
142,4000,Facepunch Studios
143,4100,Funkitron
144,4230,SimBin
145,4290,SimBin
146,4300,Naked Sky Entertainment
147,4330,
148,4420,Monte Cristo
149,4460,Monte Cristo
150,4470,Monte Cristo
151,4500,GSC Game World
152,4520,Pandemic Studios
153,4530,Pandemic Studios
154,4560,Relic Entertainment
155,4570,Relic Entertainment
156,4580,Relic Entertainment
157,4700,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)"
158,4720,Monolith
159,4760,CREATIVE ASSEMBLY
160,4770,The Creative Assembly
161,4780,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)"
162,4800,GSC Game World
163,4850,GSC Game World
164,4870,GSC Game World
165,4880,GSC Game World
166,4890,GSC Game World
167,4900,Unknown Worlds Entertainment
168,4920,Unknown Worlds Entertainment
169,6000,LucasArts
170,6010,LucasArts
171,6020,"Raven Software, Aspyr (Mac)"
172,6030,"Raven Software, Aspyr (Mac)"
173,6040,LucasArts
174,6060,Pandemic Studios
175,6080,Frontier
176,6090,Planet Moon Studios
177,6120,Klei Entertainment
178,6200,Sick Puppies
179,6210,Deepred
180,6220,Bugbear Entertainment
181,6250,Muzzy Lane
182,6270,Artematica Entertainment
183,6300,Funcom
184,6310,Funcom
185,6370,Stunlock Studios
186,6400,Most Wanted Entertainment
187,6420,"Mithis Games, THQ Nordic"
188,6510,"CAPCOM Co., Ltd."
189,6550,"CAPCOM Co., Ltd."
190,6600,R C Knight
191,6800,Pyro Studios
192,6810,Pyro Studios
193,6830,Pyro Studios
194,6840,Pyro Studios
195,6850,Io-Interactive A/S
196,6860,Io-Interactive A/S
197,6870,Eidos Interactive
198,6880,Avalanche Studios
199,6900,IO Interactive A/S
200,6910,Ion Storm
201,6920,Ion Storm
202,6980,Ion Storm
203,7000,Crystal Dynamics
204,7010,Crystal Dynamics
205,7020,Rebellion
206,7110,BioWare Corporation
207,7200,Nadeo
208,7210,Pendulo Studios
209,7220,Pendulo Studios
210,7260,Cyanide Studios
211,7340,Big Fish Games
212,7510,Gaijin Entertainment
213,7520,Reality Pump Studios
214,7530,Reality Pump Studios
215,7600,"Firaxis Games, Feral Interactive (Mac)"
216,7610,PopTop
217,7620,PopTop
218,7650,"MicroProse Software, Inc"
219,7660,"MicroProse Software, Inc"
220,7670,"2K Boston, 2K Australia"
221,7730,"MicroProse Software, Inc"
222,7760,"MicroProse Software, Inc"
223,7770,"MicroProse Software, Inc"
224,7830,Best Way
225,7840,Sky Fallen
226,7860,The Farm 51
227,7940,"Infinity Ward, Aspyr (Mac)"
228,8000,"Crystal Dynamics, Feral Interactive (Mac)"
229,8080,IO Interactive
230,8100,Pivotal Games
231,8140,Crystal Dynamics
232,8170,Eidos Studio Hungary
233,8190,Avalanche Studios
234,8200,Telltale Games
235,8210,Telltale Games
236,8220,Telltale Games
237,8230,Telltale Games
238,8240,Telltale Games
239,8250,Telltale Games
240,8260,Telltale Games
241,8270,Telltale Games
242,8280,Telltale Games
243,8290,Telltale Games
244,8300,Telltale Games
245,8310,Telltale Games
246,8320,Telltale Games
247,8330,Telltale Games
248,8340,Telltale Games
249,8350,Telltale Games
250,8360,Telltale Games
251,8370,Telltale Games
252,8380,Telltale Games
253,8400,Bizarre Creations
254,8500,CCP
255,8600,SimBin
256,8740,
257,8790,SimBin Studios AB
258,8800,Firaxis Games
259,8850,"2K Marin, 2K China, Digital Extremes, 2K Australia, Feral Interactive (Mac)"
260,8870,"Irrational Games, Aspyr (Mac), Virtual Programming (Linux)"
261,8880,Irrational Games
262,8890,Irrational Games
263,8930,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
264,8955,
265,8970,Silver Wish Games
266,8980,Gearbox Software
267,9000,id Software
268,9010,Gray Matter Studios
269,9030,Rogue Entertainment
270,9040,Ritual Entertainment
271,9050,id Software
272,9060,Raven Software
273,9160,id Software
274,9180,id Software
275,9200,id Software
276,9310,Relic Entertainment
277,9340,Relic Entertainment
278,9350,Gas Powered Games
279,9420,Gas Powered Games
280,9450,Relic Entertainment
281,9460,Kaos Studios
282,9480,Volition
283,9500,Cryptic Sea
284,9710,Spellbound
285,9730,
286,9760,Eugen Systems
287,9800,Haggard Games
288,9850,"InnoGlow, Stormregion, THQ Nordic"
289,9880,Cryptic Studios
290,9900,Cryptic Studios
291,9940,Krome Studios
292,9960,ImagineEngline
293,9970,Incinerator Studios
294,9980,Artech Studios
295,10090,Treyarch
296,10100,Sierra
297,10110,Sierra
298,10120,Artech Studios
299,10130,Saber Interactive
300,10140,Wanako Games
301,10150,Radical Entertainment
302,10180,"Infinity Ward, Aspyr (Mac)"
303,10220,Trashmasters
304,10230,Electronic Paradise
305,10240,SPLine
306,10250,Studio4
307,10260,studio4
308,10270,Akella
309,10460,Bizarre Creations
310,10500,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)"
311,10520,Eurocom
312,10680,Rebellion
313,11020,Nadeo
314,11040,Frogwares
315,11050,Frogwares
316,11130,Frogwares
317,11140,Frogwares
318,11150,Frogwares
319,11180,Frogwares
320,11190,Frogwares
321,11200,Frozenbyte
322,11230,"CINEMAX, s.r.o."
323,11240,Meridian4
324,11250,"Buka Entertainment, Lesta Studio"
325,11260,Lesta Studio
326,11280,Frogames
327,11330,IonFX
328,11340,Meridian4
329,11360,2DEngine.com
330,11370,
331,11390,
332,11450,"Triumph Studios, Virtual Programming"
333,11480,Best Way
334,11560,KDV Games
335,11590,Deep Red Limited
336,11610,Eyedentity Games Inc.
337,11920,Q Entertainment Inc.
338,12100,Rockstar Games
339,12110,Rockstar Games
340,12120,Rockstar Games
341,12130,Rockstar North
342,12140,Remedy Entertainment
343,12150,Remedy Entertainment
344,12160,Rockstar San Diego
345,12170,Rockstar North
346,12180,Rockstar North
347,12200,Rockstar New England
348,12210,"Rockstar North, Rockstar Toronto"
349,12220,Rockstar North / Toronto
350,12310,Momentum Digital Media Technologies
351,12320,Ascaron Entertainment ltd.
352,12330,Ascaron Entertainment ltd.
353,12340,Deck13
354,12360,Bugbear Entertainment
355,12370,Strategy First
356,12380,Strategy First
357,12390,Parallax Arts Studio
358,12420,KDV Games
359,12430,Technetium Games
360,12440,Deck 13
361,12450,Deck 13
362,12460,Mascot Entertainment
363,12470,Ascaron Entertainment ltd.
364,12480,"Noviy Disk, Lesta Studios Inc"
365,12500,Infinite Interactive
366,12510,"Gamebryo, Virtual Playground"
367,12520,SCS Software
368,12530,SCS Software
369,12540,Zemnott
