id,appid,genre
0,10,Action
1,20,Action
2,30,Action
3,40,Action
4,50,Action
5,60,Action
6,70,Action
7,80,Action
8,130,Action
9,220,Action
10,240,Action
11,280,Action
12,300,Action
13,320,Action
14,340,Action
15,360,Action
16,380,Action
17,400,Action
18,420,Action
19,440,"Action, Free to Play"
20,500,Action
21,550,Action
22,570,"Action, Free to Play, Strategy"
23,620,"Action, Adventure"
24,630,Action
25,730,"Action, Free to Play"
26,852,
27,1002,Indie
28,1200,Action
29,1250,Action
30,1300,Action
31,1309,Action
32,1313,Action
33,1500,"Indie, Strategy"
34,1510,"Indie, Strategy"
35,1520,"Indie, Strategy"
36,1530,Indie
37,1600,Strategy
38,1610,Strategy
39,1630,Strategy
40,1640,Strategy
41,1670,Strategy
42,1690,Strategy
43,1700,RPG
44,1840,"Animation & Modeling, Video Production"
45,1900,Strategy
46,1930,RPG
47,2100,"Action, RPG"
48,2200,Action
49,2210,Action
50,2270,Action
51,2280,Action
52,2290,Action
53,2300,Action
54,2310,Action
55,2320,Action
56,2330,Action
57,2340,Action
58,2350,Action
59,2360,Action
60,2370,Action
61,2390,Action
62,2400,"Action, Indie, RPG"
63,2420,"Action, Indie, RPG"
64,2450,Action
65,2500,Action
66,2520,"Casual, Indie"
67,2540,"Casual, Indie"
68,2570,"Indie, RPG"
69,2590,Action
70,2600,Action
71,2610,Action
72,2620,Action
73,2630,Action
74,2640,Action
75,2700,"Simulation, Strategy"
76,2710,Action
77,2720,"Action, Indie, Strategy"
78,2780,Action
79,2800,Strategy
80,2810,Strategy
81,2820,"Action, Simulation, Strategy"
82,2840,"Simulation, Strategy"
83,2850,"Simulation, Strategy"
84,2870,"Action, Simulation"
85,2900,Strategy
86,2910,Strategy
87,2920,Strategy
88,2990,Racing
89,3010,Racing
90,3020,Action
91,3050,Racing
92,3130,Strategy
93,3170,"RPG, Strategy"
94,3230,Strategy
95,3260,"Adventure, Casual"
96,3270,Action
97,3300,Casual
98,3310,Casual
99,3320,Casual
100,3330,Casual
101,3340,Casual
102,3350,Casual
103,3360,Casual
104,3380,Casual
105,3390,Casual
106,3400,Casual
107,3410,Casual
108,3420,Casual
109,3430,Casual
110,3440,Casual
111,3450,Casual
112,3460,Casual
113,3480,Casual
114,3483,Casual
115,3490,Casual
116,3500,Casual
117,3510,Casual
118,3520,Casual
119,3530,Casual
120,3540,Casual
121,3560,"Strategy, Casual"
122,3570,Casual
123,3580,Casual
124,3590,Strategy
125,3600,Casual
126,3610,Casual
127,3620,"Action, Casual"
128,3700,Action
129,3710,Action
130,3720,Strategy
131,3730,Action
132,3800,Action
133,3810,Action
134,3820,Action
135,3830,Action
136,3900,Strategy
137,3910,Strategy
138,3920,RPG
139,3960,Strategy
140,3980,Strategy
141,3990,Strategy
142,4000,"Indie, Simulation"
143,4100,"Casual, Strategy, Indie"
144,4230,Racing
145,4290,Racing
146,4300,"Action, Indie"
147,4330,
148,4420,RPG
149,4460,"Simulation, Strategy"
150,4470,RPG
151,4500,"Action, RPG"
152,4520,"Action, Strategy"
153,4530,"Action, Strategy"
154,4560,"Violent, Action, Strategy"
155,4570,Strategy
156,4580,Strategy
157,4700,Strategy
158,4720,Action
159,4760,Strategy
160,4770,Strategy
161,4780,Strategy
162,4800,Strategy
163,4850,Strategy
164,4870,Strategy
165,4880,Strategy
166,4890,Strategy
167,4900,"Casual, Indie"
168,4920,"Action, Indie, Strategy"
169,6000,Action
170,6010,Adventure
171,6020,Action
172,6030,Action
173,6040,Adventure
174,6060,Action
175,6080,"Action, Adventure, Racing, Simulation, Strategy"
176,6090,Action
177,6120,"Action, Indie"
178,6200,Strategy
179,6210,Strategy
180,6220,Racing
