id,appid,positive,negative
0,10,124534,3339
1,20,3318,633
2,30,3416,398
3,40,1273,267
4,50,5250,288
5,60,2758,684
6,70,27755,1100
7,80,12120,1439
8,130,3822,420
9,220,67902,2419
10,240,76640,3497
11,280,3767,1053
12,300,10489,1210
13,320,6020,787
14,340,5783,1020
15,360,1362,473
16,380,7908,517
17,400,51801,1080
18,420,13902,696
19,440,515879,34036
20,500,17951,948
21,550,251789,8418
22,570,863507,142079
23,620,138220,1891
24,630,17435,941
25,730,2644404,402313
26,852,0,0
27,1002,40,17
28,1200,1562,223
29,1250,53710,2649
30,1300,468,61
31,1309,322,45
32,1313,322,45
33,1500,472,158
34,1510,1602,152
35,1520,2057,344
36,1530,368,75
37,1600,140,44
38,1610,112,26
39,1630,451,108
40,1640,490,152
41,1670,137,102
42,1690,191,85
43,1700,671,106
44,1840,15083,1111
45,1900,498,238
46,1930,2656,1055
47,2100,4386,316
48,2200,1362,66
49,2210,891,171
50,2270,1773,87
51,2280,3705,257
52,2290,573,82
53,2300,2517,182
54,2310,2618,136
55,2320,1369,107
56,2330,65,12
57,2340,54,33
58,2350,108,31
59,2360,249,26
60,2370,57,20
61,2390,417,29
62,2400,4819,792
63,2420,586,247
64,2450,662,204
65,2500,973,248
66,2520,52,46
67,2540,199,131
68,2570,29,108
69,2590,610,523
70,2600,6161,362
71,2610,740,87
72,2620,1555,117
73,2630,2434,236
74,2640,490,97
75,2700,3325,399
76,2710,180,33
77,2720,31,9
78,2780,145,77
79,2800,212,50
80,2810,282,113
81,2820,1633,272
82,2840,142,48
83,2850,57,18
84,2870,2832,4032
85,2900,52,17
86,2910,127,31
87,2920,33,14
88,2990,5438,343
89,3010,139,39
90,3020,793,198
91,3050,71,36
92,3130,294,69
93,3170,482,53
94,3230,30,94
95,3260,256,172
96,3270,429,137
97,3300,133,13
98,3310,191,14
99,3320,1184,58
100,3330,437,37
101,3340,38,5
102,3350,54,9
103,3360,28,3
104,3380,49,4
105,3390,363,16
106,3400,28,2
107,3410,71,28
108,3420,10,1
109,3430,54,3
110,3440,34,2
111,3450,81,26
112,3460,13,0
113,3480,1106,66
114,3483,707,58
115,3490,10,2
116,3500,10,3
117,3510,21,8
118,3520,11,5
119,3530,23,7
120,3540,368,24
121,3560,98,18
122,3570,8,5
123,3580,15,3
124,3590,14630,454
125,3600,97,57
126,3610,8,3
127,3620,435,28
128,3700,1181,377
129,3710,559,79
130,3720,1847,95
131,3730,1434,219
132,3800,260,71
133,3810,369,110
134,3820,259,103
135,3830,8204,456
136,3900,1394,129
137,3910,2578,405
138,3920,2641,193
139,3960,39,49
140,3980,184,65
141,3990,121,20
142,4000,363721,16433
143,4100,4,5
144,4230,119,43
145,4290,4,2
146,4300,43,14
147,4330,0,0
148,4420,57,36
149,4460,77,41
150,4470,31,17
151,4500,11039,570
152,4520,106,60
153,4530,76,38
154,4560,4772,320
155,4570,3485,206
156,4580,2849,133
157,4700,10270,605
158,4720,1243,221
159,4760,7806,562
160,4770,331,131
161,4780,585,30
162,4800,259,46
163,4850,1081,143
164,4870,102,22
165,4880,170,66
166,4890,246,138
167,4900,122,17
168,4920,8372,1498
169,6000,6392,379
170,6010,597,31
171,6020,5684,330
172,6030,2020,219
173,6040,575,55
174,6060,29149,2425
175,6080,272,38
176,6090,115,18
177,6120,1749,227
178,6200,1025,164
179,6210,91,33
180,6220,1977,186
181,6250,460,107
182,6270,77,100
183,6300,588,89
184,6310,1152,102
185,6370,1365,226
186,6400,100,15
187,6420,474,90
188,6510,569,178
189,6550,1462,1052
190,6600,39,32
191,6800,1561,213
192,6810,404,71
193,6830,1333,238
194,6840,421,265
195,6850,1514,260
196,6860,5864,391
197,6870,316,113
198,6880,1732,846
199,6900,1186,450
200,6910,6242,347
201,6920,649,433
202,6980,1135,210
203,7000,1656,243
204,7010,175,61
205,7020,248,15
206,7110,809,279
207,7200,963,55
208,7210,236,90
209,7220,86,65
210,7260,69,54
211,7340,8,4
212,7510,1566,981
213,7520,3054,2051
214,7530,153,194
215,7600,1114,570
216,7610,355,153
217,7620,420,82
218,7650,385,32
219,7660,417,53
220,7670,19678,1183
221,7730,57,54
222,7760,2165,136
223,7770,146,138
224,7830,1664,257
225,7840,34,50
226,7860,539,270
227,7940,8725,821
228,8000,1964,389
229,8080,1223,724
230,8100,89,103
231,8140,1779,594
232,8170,1028,542
233,8190,33636,3231
234,8200,323,49
235,8210,61,6
236,8220,55,9
237,8230,340,64
238,8240,51,5
239,8250,50,6
240,8260,107,12
241,8270,38,8
242,8280,37,5
243,8290,38,4
244,8300,37,5
245,8310,78,71
246,8320,44,33
247,8330,69,77
248,8340,218,25
249,8350,12,5
250,8360,11,6
251,8370,11,5
252,8380,12,3
253,8400,583,62
254,8500,8317,2832
255,8600,1684,348
256,8740,0,0
257,8790,174,16
258,8800,1396,66
259,8850,8608,970
260,8870,79442,3846
261,8880,197,150
262,8890,121,28
263,8930,129030,5565
264,8955,0,0
265,8970,35,14
266,8980,23701,2798
267,9000,200,36
268,9010,3084,276
269,9030,143,15
270,9040,205,13
271,9050,2633,376
272,9060,173,39
273,9160,310,69
274,9180,737,51
275,9200,9394,2882
276,9310,606,76
277,9340,579,52
278,9350,1065,162
279,9420,4969,174
280,9450,4887,286
281,9460,378,229
282,9480,9442,2881
283,9500,160,94
284,9710,42,54
285,9730,58,102
286,9760,157,38
287,9800,428,145
288,9850,82,56
289,9880,2081,823
290,9900,7639,2391
291,9940,746,149
292,9960,9,13
293,9970,5,24
294,9980,48,24
295,10090,19595,1483
296,10100,125,32
297,10110,143,42
298,10120,14,16
299,10130,623,159
300,10140,50,28
301,10150,3702,904
302,10180,30006,2826
303,10220,641,1101
304,10230,25,63
305,10240,15,10
306,10250,12,12
307,10260,5,10
308,10270,618,252
309,10460,47,50
310,10500,14928,1719
311,10520,0,0
312,10680,9448,1186
313,11020,8252,1244
314,11040,114,43
315,11050,94,45
316,11130,59,130
317,11140,178,49
318,11150,98,54
319,11180,39,91
320,11190,300,94
321,11200,328,239
322,11230,351,142
323,11240,299,310
324,11250,20,9
325,11260,78,56
326,11280,902,129
327,11330,586,130
328,11340,523,161
329,11360,433,148
330,11370,163,130
331,11390,1148,1017
332,11450,3439,276
333,11480,273,61
334,11560,69,44
335,11590,175,301
336,11610,1458,503
337,11920,14,2
338,12100,4718,750
339,12110,9817,819
340,12120,26877,3243
341,12130,816,433
342,12140,3926,435
343,12150,2506,172
344,12160,512,109
345,12170,199,30
346,12180,184,17
347,12200,8504,1764
348,12210,35240,18926
349,12220,6401,2345
350,12310,57,14
351,12320,1489,319
352,12330,256,59
353,12340,46,27
354,12360,1967,394
355,12370,0,0
356,12380,0,0
357,12390,51,44
358,12420,12,41
359,12430,31,69
360,12440,23,17
361,12450,12,8
362,12460,85,76
363,12470,174,95
364,12480,86,67
365,12500,561,80
366,12510,18,89
367,12520,245,111
368,12530,29,9
369,12540,21,6
370,12560,15,26
371,12570,9,12
372,12580,11,10
373,12590,25,24
374,12600,10,27
375,12640,238,72
376,12650,2,1
377,12660,2,2
378,12670,14,6
379,12690,142,39
380,12710,946,75
381,12770,365,178
382,12790,132,182
383,12810,2116,306
384,12830,1024,580
385,12900,9040,401
386,13000,48,4
387,13120,0,0
388,13140,1515,723
389,13200,240,100
390,13210,2414,278
391,13230,2211,66
392,13240,2134,65
393,13250,1228,132
394,13260,0,0
395,13500,657,101
396,13520,3099,609
397,13530,365,109
398,13540,371,106
399,13560,900,147
400,13570,1777,140
401,13580,356,454
402,13600,831,122
403,13620,34,2
404,13630,42,4
405,15000,80,79
406,15080,239,80
407,15100,5743,1162
408,15120,2582,456
409,15130,1823,186
410,15160,76,38
411,15170,1258,183
412,15190,624,100
413,15200,234,128
414,15210,685,113
415,15240,70,24
416,15270,272,40
417,15300,536,45
418,15320,1287,185
419,15350,3,4
420,15370,759,66
421,15380,84,21
422,15390,823,98
423,15400,89,21
424,15500,402,135
425,15520,547,103
426,15540,151,336
427,15560,747,252
428,15620,5626,755
429,15700,2739,442
430,15710,806,48
431,15740,437,155
432,15750,759,139
433,15800,1,1
434,15900,92,29
435,15910,6,3
436,15920,7,14
437,15930,52,14
438,15960,73,35
439,15970,29,14
440,16000,20,29
441,16020,30,23
442,16030,57,21
443,16040,29,14
444,16060,26,25
445,16100,20,7
446,16110,11,3
447,16120,48,5
448,16130,35,8
449,16180,32,7
450,16200,20,7
451,16300,81,6
452,16450,3274,509
453,16500,10,1
454,16600,169,33
455,16620,21,13
456,16710,308,110
457,16720,1219,832
458,16730,1095,1000
459,16810,330,95
460,16900,599,143
461,17080,6470,1738
462,17100,180,38
463,17120,54,13
464,17140,113,38
465,17180,15,6
466,17300,6075,1277
467,17330,1694,312
468,17390,15101,2014
469,17410,17880,2341
470,17430,2351,1081
471,17440,481,100
472,17450,6207,468
473,17460,10107,666
474,17470,9136,1049
475,17480,4390,855
476,17500,5267,914
477,17570,3839,582
478,17580,748,151
479,17710,1675,441
480,17740,663,115
481,17760,0,0
482,18000,394,42
483,18020,118,23
484,18040,540,34
485,18050,125,18
486,18070,149,37
487,18120,190,48
488,18300,297,101
489,18310,0,0
490,18400,97,108
491,18420,98,24
492,18430,0,0
493,18450,0,0
494,18460,0,0
495,18470,53,23
496,18480,53,37
497,18500,3307,113
498,18600,12,10
499,18700,735,327
500,18820,652,173
501,19000,480,437
502,19020,16,8
503,19030,70,22
504,19080,1,13
505,19200,226,190
506,19320,6,8
507,19500,16,47
508,19800,303,53
509,19810,16,3
510,19830,811,71
511,19900,5292,1739
512,19980,948,266
513,20200,6,10
514,20500,6387,677
515,20510,5550,903
516,20530,1327,151
517,20540,1337,101
518,20550,354,313
519,20570,1645,164
520,20700,50,15
521,20710,55,12
522,20820,963,64
523,20900,26380,4217
524,20920,36427,4710
525,21000,1050,242
526,21010,227,120
527,21030,97,51
528,21090,6371,438
529,21100,5349,2030
530,21110,0,0
531,21120,0,0
532,21130,1672,460
533,21300,19,8
534,21400,10,5
535,21500,5,3
536,21600,59,114
537,21640,110,34
538,21660,295,126
539,21670,649,247
540,21680,453,287
541,21690,9250,1618
542,21780,367,46
543,21800,276,108
544,21980,1121,232
545,22000,3455,237
